"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"3193","NM_002154&NM_001014","HSPA4&RPS10","HSPA4&RPS10",0,0,"16&301.37","16&301.37"
"3194","NM_002154&NM_001203245","HSPA4&RPS10","HSPA4&RPS10",0,0,"16&67.25","16&301.37"
"3195","NM_002154&NM_001204091","HSPA4&RPS10","HSPA4&RPS10",0,0,"16&301.37","16&301.37"
"3196","undefined","undefined","HSPA4&RPS10",1,1,"undefined","undefined"
"3197","NM_006294&NR_036624","UQCRB&VDAC1","UQCRB&VDAC1",0,0,"308.87&40.69","0&1.63"
"3198","NM_006294&NR_036625","UQCRB&VDAC1","UQCRB&VDAC1",0,0,"308.87&40.69","0&1.63"
"3199","undefined","undefined","UQCRB&VDAC1",1,1,"undefined","undefined"
"3200","NM_003226&NR_036624","TFF3&VDAC1","TFF3&VDAC1",0.5,0.5,"95&40.69","95&1.63"
"3201","NM_003226&NR_036625","TFF3&VDAC1","TFF3&VDAC1",0.5,0.5,"95&40.69","95&1.63"
"3202","undefined","undefined","TFF3&VDAC1",0,0,"undefined","undefined"
"3203","NM_170679&NM_001134851","SKP1&TCF7","SKP1&TCF7",0.5,1,"571&0","0&0"
"3204","undefined","undefined","SKP1&TCF7",0.5,1,"undefined","undefined"
"3205","NM_016039&NM_170679","C14orf166&SKP1","C14orf166&SKP1",1,1,"157&571","157&0"
"3206","undefined","undefined","C14orf166&SKP1",0,0,"undefined","undefined"
"3207","NM_002787&NM_006930","PSMA2&SKP1","PSMA2&SKP1",0.5,0.5,"779&0","779&0"
"3208","NM_002787&NM_170679","PSMA2&SKP1","PSMA2&SKP1",0.5,0.5,"779&571","779&0"
"3209","undefined","undefined","PSMA2&SKP1",0,0,"undefined","undefined"
"3210","NM_001303458&NM_003337","IFT52&UBE2B","IFT52&UBE2B",0.333333333333333,0.333333333333333,"6&71","6&71"
"3211","NM_001303459&NM_003337","IFT52&UBE2B","IFT52&UBE2B",0.333333333333333,0.333333333333333,"0&71","6&71"
"3212","NM_016004&NM_003337","IFT52&UBE2B","IFT52&UBE2B",0.333333333333333,0.333333333333333,"3&71","6&71"
"3213","undefined","undefined","IFT52&UBE2B",0,0,"undefined","undefined"
"3214","undefined","undefined","SAR1B&SEC24A",1,1,"undefined","undefined"
"3215","undefined","undefined","CAMLG&undefined",1,1,"undefined","undefined"
"3216","NM_001745&NM_001300796","CAMLG&RAN","CAMLG&RAN",0.333333333333333,0.333333333333333,"3&0.99","3&0.99"
"3217","NM_001745&NM_001300797","CAMLG&RAN","CAMLG&RAN",0.333333333333333,0.333333333333333,"3&12.32","3&0.99"
"3218","NM_001745&NM_006325","CAMLG&RAN","CAMLG&RAN",0.333333333333333,0.333333333333333,"3&851.69","3&0.99"
"3219","undefined","undefined","CAMLG&RAN",0,0,"undefined","undefined"
"3220","NM_003945&NM_001040158","ATP6V0E1&H2AFY","ATP6V0E1&H2AFY",0.25,0.25,"344&11.81","344&11.81"
"3221","NM_003945&NM_004893","ATP6V0E1&H2AFY","ATP6V0E1&H2AFY",0.25,0.25,"344&0","344&11.81"
"3222","NM_003945&NM_138609","ATP6V0E1&H2AFY","ATP6V0E1&H2AFY",0.25,0.25,"344&3.38","344&11.81"
"3223","NM_003945&NM_138610","ATP6V0E1&H2AFY","ATP6V0E1&H2AFY",0.25,0.25,"344&11.81","344&11.81"
"3224","undefined","undefined","ATP6V0E1&H2AFY",0,0,"undefined","undefined"
"3225","NM_005733&NM_001258212&NM_001017919","KIF20A&PCID2&RCCD1","KIF20A&PCID2&RCCD1",0,0,"5&0.86&3","5&2&3"
"3226","NM_005733&NM_001258212&NM_033544","KIF20A&PCID2&RCCD1","KIF20A&PCID2&RCCD1",0,0,"5&0.86&3","5&2&3"
"3227","undefined","undefined","KIF20A&PCID2&RCCD1",1,1,"undefined","undefined"
"3228","NM_001256302&NM_002276","ETF1&KRT19","ETF1&KRT19",0.2,0.2,"0&1459","0&1459"
"3229","NM_001282185&NM_002276","ETF1&KRT19","ETF1&KRT19",0.2,0.2,"0&1459","0&1459"
"3230","NM_001291974&NM_002276","ETF1&KRT19","ETF1&KRT19",0.2,0.2,"0&1459","0&1459"
"3231","NM_001291975&NM_002276","ETF1&KRT19","ETF1&KRT19",0.2,0.2,"0&1459","0&1459"
"3232","NM_004730&NM_002276","ETF1&KRT19","ETF1&KRT19",0.2,0.2,"11&1459","0&1459"
"3233","undefined","undefined","ETF1&KRT19",0,0,"undefined","undefined"
"3234","NM_001256302&NM_014222","ETF1&NDUFA8","ETF1&NDUFA8",0.2,0.2,"0&155","0&155"
"3235","NM_001282185&NM_014222","ETF1&NDUFA8","ETF1&NDUFA8",0.2,0.2,"0&155","0&155"
"3236","NM_001291974&NM_014222","ETF1&NDUFA8","ETF1&NDUFA8",0.2,0.2,"0&155","0&155"
"3237","NM_001291975&NM_014222","ETF1&NDUFA8","ETF1&NDUFA8",0.2,0.2,"0&155","0&155"
"3238","NM_004730&NM_014222","ETF1&NDUFA8","ETF1&NDUFA8",0.2,0.2,"11&155","0&155"
"3239","undefined","undefined","ETF1&NDUFA8",0,0,"undefined","undefined"
"3240","undefined","undefined","CXXC5&undefined",1,3,"undefined","undefined"
"3241","NM_006401&NR_045587","ANP32B&SRA1","ANP32B&SRA1",1,1,"69&5.98","69&38.85"
"3242","undefined","undefined","ANP32B&SRA1",0,0,"undefined","undefined"
"3243","undefined","undefined","PCNXL2&SLC35A4",1,1,"undefined","undefined"
"3244","NM_001008709&NM_080670","PPP1CA&SLC35A4","PPP1CA&SLC35A4",0,0,"1.25&13","1.25&13"
"3245","NM_002708&NM_080670","PPP1CA&SLC35A4","PPP1CA&SLC35A4",0,0,"187.08&13","1.25&13"
"3246","NM_206873&NM_080670","PPP1CA&SLC35A4","PPP1CA&SLC35A4",0,0,"3.67&13","1.25&13"
"3247","undefined","undefined","PPP1CA&SLC35A4",1,1,"undefined","undefined"
"3248","undefined","undefined","NDUFA2&undefined",1,1,"undefined","undefined"
"3249","NM_002488&NM_001198719","NDUFA2&RBBP7","NDUFA2&RBBP7",0,0,"102.95&0","3.03&0"
"3250","NM_002488&NM_002893","NDUFA2&RBBP7","NDUFA2&RBBP7",0,0,"102.95&31","3.03&0"
"3251","undefined","undefined","NDUFA2&RBBP7",1,1,"undefined","undefined"
"3252","undefined","undefined","DND1&WDR55",1,2,"undefined","undefined"
"3253","undefined","undefined","DND1&RPS15A&WDR55",1,1,"undefined","undefined"
"3254","NR_001282&NM_005642","PCDHB19P&TAF7","PCDHB19P&TAF7",1,1,"0&40","0&40"
"3255","undefined","undefined","PCDHB19P&TAF7",0,0,"undefined","undefined"
"3256","undefined","undefined","TAF7&undefined",1,1,"undefined","undefined"
"3257","undefined","undefined","CSF1R&TCERG1",1,1,"undefined","undefined"
"3258","undefined","undefined","SCGB3A2&undefined",1,1,"undefined","undefined"
"3259","undefined","undefined","CSNK1A1&undefined",1,2,"undefined","undefined"
"3260","NM_053035&NM_000356","MRPS33&TCOF1","MRPS33&TCOF1",0.2,0.2,"77.79&2","21.21&2"
"3261","NM_053035&NM_001135243","MRPS33&TCOF1","MRPS33&TCOF1",0.2,0.2,"77.79&2","21.21&2"
"3262","NM_053035&NM_001135244","MRPS33&TCOF1","MRPS33&TCOF1",0.2,0.2,"77.79&0","21.21&2"
"3263","NM_053035&NM_001135245","MRPS33&TCOF1","MRPS33&TCOF1",0.2,0.2,"77.79&2","21.21&2"
"3264","NM_053035&NM_001195141","MRPS33&TCOF1","MRPS33&TCOF1",0.2,0.2,"77.79&0","21.21&2"
"3265","undefined","undefined","MRPS33&TCOF1",0,0,"undefined","undefined"
"3266","undefined","undefined","RPS14&undefined",1,3,"undefined","undefined"
"3267","NM_006886&NM_001025070","ATP5E&RPS14","ATP5E&RPS14",0.333333333333333,0.333333333333333,"1925&81.27","1925&81.27"
"3268","NM_006886&NM_001025071","ATP5E&RPS14","ATP5E&RPS14",0.333333333333333,0.333333333333333,"1925&55.04","1925&81.27"
"3269","NM_006886&NM_005617","ATP5E&RPS14","ATP5E&RPS14",0.333333333333333,0.333333333333333,"1925&2688.69","1925&81.27"
"3270","undefined","undefined","ATP5E&RPS14",0,0,"undefined","undefined"
"3271","undefined","undefined","RPS14&SCHLAP1",1,1,"undefined","undefined"
"3272","undefined","undefined","ATOX1&undefined",1,4,"undefined","undefined"
"3273","NM_004045&NM_004546","ATOX1&NDUFB2","ATOX1&NDUFB2",1,1,"93&539","93&539"
"3274","undefined","undefined","ATOX1&NDUFB2",0,0,"undefined","undefined"
"3275","undefined","undefined","MFAP3&undefined",1,1,"undefined","undefined"
"3276","NM_001261826&NM_014180","AP3D1&MRPL22","AP3D1&MRPL22",0.5,0.5,"1.5&146.98","1.5&10.02"
"3277","NM_003938&NM_014180","AP3D1&MRPL22","AP3D1&MRPL22",0.5,0.5,"1.5&146.98","1.5&10.02"
"3278","undefined","undefined","AP3D1&MRPL22",0,0,"undefined","undefined"
"3279","undefined","undefined","PTTG1&undefined",1,1,"undefined","undefined"
"3280","NM_145266&NM_000991","NUDCD2&RPL28","NUDCD2&RPL28",1,1,"88&1405.93","88&1405.93"
"3281","undefined","undefined","NUDCD2&RPL28",0,0,"undefined","undefined"
"3282","undefined","undefined","HMMR&undefined",1,1,"undefined","undefined"
"3283","undefined","undefined","CTB-178M22.2&undefined",1,1,"undefined","undefined"
"3284","undefined","undefined","RARS&undefined",1,1,"undefined","undefined"
"3285","undefined","undefined","LINC01006&NPM1",1,1,"undefined","undefined"
"3286","undefined","undefined","NPM1&undefined",1,1,"undefined","undefined"
"3287","NM_001865&NM_001037738","COX7A2&NPM1","COX7A2&NPM1",0.333333333333333,0.333333333333333,"821.98&65.46","821.98&65.46"
"3288","NM_001865&NM_002520","COX7A2&NPM1","COX7A2&NPM1",0.333333333333333,0.333333333333333,"821.98&446.79","821.98&65.46"
"3289","NM_001865&NM_199185","COX7A2&NPM1","COX7A2&NPM1",0.333333333333333,0.333333333333333,"821.98&26.75","821.98&65.46"
"3290","undefined","undefined","COX7A2&NPM1",0,0,"undefined","undefined"
"3291","NM_001037738&NM_001085372","NPM1&UQCC3","NPM1&UQCC3",0.5,0.5,"65.46&54","65.46&54"
"3292","NM_002520&NM_001085372","NPM1&UQCC3","NPM1&UQCC3",0.5,0.5,"446.79&54","65.46&54"
"3293","undefined","undefined","NPM1&UQCC3",0,0,"undefined","undefined"
"3294","undefined","undefined","AMBRA1&NPM1",1,1,"undefined","undefined"
"3295","undefined","undefined","NPM1&RPL28",1,1,"undefined","undefined"
"3296","undefined","undefined","FAM172A&NPM1",1,1,"undefined","undefined"
"3297","NR_026682&NM_016093","LOC100268168&RPL26L1","LOC100268168&RPL26L1",0.142857142857143,1,"0&80","0&80"
"3298","undefined","undefined","LOC100268168&RPL26L1",0.857142857142857,6,"undefined","undefined"
"3299","NM_003945&NM_004541","ATP6V0E1&NDUFA1","ATP6V0E1&NDUFA1",1,1,"344&640","344&640"
"3300","undefined","undefined","ATP6V0E1&NDUFA1",0,0,"undefined","undefined"
"3301","NM_003945&NM_000988","ATP6V0E1&RPL27","ATP6V0E1&RPL27",0,0,"344&747","344&747"
"3302","undefined","undefined","ATP6V0E1&RPL27",1,1,"undefined","undefined"
"3303","undefined","undefined","BNIP1&undefined",1,1,"undefined","undefined"
"3304","undefined","undefined","SFXN1&undefined",1,3,"undefined","undefined"
"3305","undefined","undefined","THOC3&undefined",1,3,"undefined","undefined"
"3306","NM_006045&NM_032361","ATP9A&THOC3","ATP9A&THOC3",1,1,"4&35","4&35"
"3307","undefined","undefined","ATP9A&THOC3",0,0,"undefined","undefined"
"3308","NM_005324&NM_138820","H3F3B&HIGD2A","H3F3B&HIGD2A",0,0,"956&26","956&26"
"3309","undefined","undefined","H3F3B&HIGD2A",1,1,"undefined","undefined"
"3310","undefined","undefined","TSPAN17&undefined",1,1,"undefined","undefined"
"3311","undefined","undefined","UIMC1&ZNF346",1,1,"undefined","undefined"
"3312","NM_001257293&NM_013237","HNRNPH1&PRELID1","HNRNPH1&PRELID1",0.5,0.5,"63.19&135.99","63.19&1.01"
"3313","NM_005520&NM_013237","HNRNPH1&PRELID1","HNRNPH1&PRELID1",0.5,0.5,"75.81&135.99","63.19&1.01"
"3314","undefined","undefined","HNRNPH1&PRELID1",0,0,"undefined","undefined"
"3315","NM_001142935&NM_001271828","MXD3&PRELID1","MXD3&PRELID1",0,0,"0&1.01","0&1.01"
"3316","NM_001142935&NM_013237","MXD3&PRELID1","MXD3&PRELID1",0,0,"0&135.99","0&1.01"
"3317","undefined","undefined","MXD3&PRELID1",1,1,"undefined","undefined"
"3318","NM_013237&NM_001015","PRELID1&RPS11","PRELID1&RPS11",1,1,"135.99&806","1.01&806"
"3319","undefined","undefined","PRELID1&RPS11",0,0,"undefined","undefined"
"3320","undefined","undefined","FAM153C&undefined",1,1,"undefined","undefined"
"3321","undefined","undefined","N4BP3&undefined",1,1,"undefined","undefined"
"3322","undefined","undefined","RMND5B&undefined",1,1,"undefined","undefined"
"3323","NM_001278506&NM_001288794","NUBP1&RMND5B","NUBP1&RMND5B",0.166666666666667,0.166666666666667,"1.09&0","1.09&0"
"3324","NM_001278506&NM_001288795","NUBP1&RMND5B","NUBP1&RMND5B",0.166666666666667,0.166666666666667,"1.09&0","1.09&0"
"3325","NM_001278506&NM_022762","NUBP1&RMND5B","NUBP1&RMND5B",0.166666666666667,0.166666666666667,"1.09&3","1.09&0"
"3326","NM_002484&NM_001288794","NUBP1&RMND5B","NUBP1&RMND5B",0.166666666666667,0.166666666666667,"10.91&0","1.09&0"
"3327","NM_002484&NM_001288795","NUBP1&RMND5B","NUBP1&RMND5B",0.166666666666667,0.166666666666667,"10.91&0","1.09&0"
"3328","NM_002484&NM_022762","NUBP1&RMND5B","NUBP1&RMND5B",0.166666666666667,0.166666666666667,"10.91&3","1.09&0"
"3329","undefined","undefined","NUBP1&RMND5B",0,0,"undefined","undefined"
"3330","undefined","undefined","NHP2&undefined",1,1,"undefined","undefined"
"3331","NM_017838&NM_020376","NHP2&PNPLA2","NHP2&PNPLA2",1,1,"524.92&0","22.08&0"
"3332","undefined","undefined","NHP2&PNPLA2",0,0,"undefined","undefined"
"3333","NM_004499&NR_045002","HNRNPAB&OR7E14P","HNRNPAB&OR7E14P",0.5,0.5,"4.13&2","4.13&2"
"3334","NM_031266&NR_045002","HNRNPAB&OR7E14P","HNRNPAB&OR7E14P",0.5,0.5,"17.87&2","4.13&2"
"3335","undefined","undefined","HNRNPAB&OR7E14P",0,0,"undefined","undefined"
"3336","undefined","undefined","HNRNPAB&undefined",1,2,"undefined","undefined"
"3337","NM_001257293&NM_018092","HNRNPH1&NETO2","HNRNPH1&NETO2",0.5,0.5,"63.19&0","63.19&0"
"3338","NM_005520&NM_018092","HNRNPH1&NETO2","HNRNPH1&NETO2",0.5,0.5,"75.81&0","63.19&0"
"3339","undefined","undefined","HNRNPH1&NETO2",0,0,"undefined","undefined"
"3340","undefined","undefined","CANX&undefined",1,1,"undefined","undefined"
"3341","NM_002512&NM_001142298","NME2&SQSTM1","NME2&SQSTM1",0.333333333333333,0.333333333333333,"1351.35&1.84","5.62&1.84"
"3342","NM_002512&NM_001142299","NME2&SQSTM1","NME2&SQSTM1",0.333333333333333,0.333333333333333,"1351.35&3.68","5.62&1.84"
"3343","NM_002512&NM_003900","NME2&SQSTM1","NME2&SQSTM1",0.333333333333333,0.333333333333333,"1351.35&29.47","5.62&1.84"
"3344","undefined","undefined","NME2&SQSTM1",0,0,"undefined","undefined"
"3345","NM_001077489&NM_002752","GNAS&MAPK9","GNAS&MAPK9",0,0,"0.22&1","7.78&1"
"3346","NM_001077489&NM_139068","GNAS&MAPK9","GNAS&MAPK9",0,0,"0.22&1","7.78&1"
"3347","NM_080426&NM_002752","GNAS&MAPK9","GNAS&MAPK9",0,0,"43.86&1","7.78&1"
"3348","NM_080426&NM_139068","GNAS&MAPK9","GNAS&MAPK9",0,0,"43.86&1","7.78&1"
"3349","undefined","undefined","GNAS&MAPK9",1,1,"undefined","undefined"
"3350","undefined","undefined","undefined&ZFP62",1,1,"undefined","undefined"
"3351","undefined","undefined","LOC102577426&TRIM7&undefined",1,1,"undefined","undefined"
"3352","undefined","undefined","LOC102577426&TRIM7",1,1,"undefined","undefined"
"3353","undefined","undefined","GNB2L1&TRIM41",1,1,"undefined","undefined"
"3354","undefined","undefined","GNB2L1&undefined",1,2,"undefined","undefined"
"3355","NM_001204064&NM_006098","CHURC1&GNB2L1","CHURC1&GNB2L1",1,1,"38.2&819","91.9&819"
"3356","undefined","undefined","CHURC1&GNB2L1",0,0,"undefined","undefined"
"3357","NM_001568&NM_006098","EIF3E&GNB2L1","EIF3E&GNB2L1",1,1,"104&819","104&819"
"3358","undefined","undefined","EIF3E&GNB2L1",0,0,"undefined","undefined"
"3359","NM_006098&NM_001129898","GNB2L1&KRBOX4","GNB2L1&KRBOX4",0.25,0.25,"819&1","819&1"
"3360","NM_006098&NM_001129899","GNB2L1&KRBOX4","GNB2L1&KRBOX4",0.25,0.25,"819&1","819&1"
"3361","NM_006098&NM_001129900","GNB2L1&KRBOX4","GNB2L1&KRBOX4",0.25,0.25,"819&1","819&1"
"3362","NM_006098&NM_017776","GNB2L1&KRBOX4","GNB2L1&KRBOX4",0.25,0.25,"819&1","819&1"
"3363","undefined","undefined","GNB2L1&KRBOX4",0,0,"undefined","undefined"
"3364","undefined","undefined","CTC-338M12.4&GNB2L1",1,1,"undefined","undefined"
"3365","NM_006098&NM_001270367","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3366","NM_006098&NM_001270368","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3367","NM_006098&NM_001270369","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3368","NM_006098&NM_001270370","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3369","NM_006098&NM_001270371","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3370","NM_006098&NM_001270372","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3371","NM_006098&NM_001270373","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
"3372","NM_006098&NM_001270374","GNB2L1&TMEM254","GNB2L1&TMEM254",0.0769230769230769,0.0769230769230769,"819&0","819&0"
