"","isoform","gene","group","prop","count","isoform_counts","gene_counts"
"9053","NM_001099285&NR_024543","PTMA&SNHG7","PTMA&SNHG7",0.5,0.5,"513.5&6","513.5&42"
"9054","NM_002823&NR_024543","PTMA&SNHG7","PTMA&SNHG7",0.5,0.5,"513.5&6","513.5&42"
"9055","undefined","undefined","PTMA&SNHG7",0,0,"undefined","undefined"
"9056","undefined","undefined","PDE6D&PTMA",1,1,"undefined","undefined"
"9057","NM_005324&NM_004541&NM_001099285","H3F3B&NDUFA1&PTMA","H3F3B&NDUFA1&PTMA",0.5,0.5,"394&156&513.5","394&156&513.5"
"9058","NM_005324&NM_004541&NM_002823","H3F3B&NDUFA1&PTMA","H3F3B&NDUFA1&PTMA",0.5,0.5,"394&156&513.5","394&156&513.5"
"9059","undefined","undefined","H3F3B&NDUFA1&PTMA",0,0,"undefined","undefined"
"9060","undefined","undefined","GNB2L1&PTMA&TRIM52-AS1",1,1,"undefined","undefined"
"9061","NM_018686&NM_001099285","CMAS&PTMA","CMAS&PTMA",0.5,0.5,"44&513.5","44&513.5"
"9062","NM_018686&NM_002823","CMAS&PTMA","CMAS&PTMA",0.5,0.5,"44&513.5","44&513.5"
"9063","undefined","undefined","CMAS&PTMA",0,0,"undefined","undefined"
"9064","NM_016139&NM_001099285","CHCHD2&PTMA","CHCHD2&PTMA",0.5,0.5,"552&513.5","552&513.5"
"9065","NM_016139&NM_002823","CHCHD2&PTMA","CHCHD2&PTMA",0.5,0.5,"552&513.5","552&513.5"
"9066","undefined","undefined","CHCHD2&PTMA",0,0,"undefined","undefined"
"9067","undefined","undefined","CLMP&HSPA8&PTMA",1,1,"undefined","undefined"
"9068","undefined","undefined","PTMA&STRA13",1,1,"undefined","undefined"
"9069","NM_004039&NM_001099285","ANXA2&PTMA","ANXA2&PTMA",0.5,0.5,"2148.47&513.5","608.68&513.5"
"9070","NM_004039&NM_002823","ANXA2&PTMA","ANXA2&PTMA",0.5,0.5,"2148.47&513.5","608.68&513.5"
"9071","undefined","undefined","ANXA2&PTMA",0,0,"undefined","undefined"
"9072","NM_001099285&NM_001026","PTMA&RPS24","PTMA&RPS24",0.5,0.5,"513.5&1043.79","513.5&1043.79"
"9073","NM_002823&NM_001026","PTMA&RPS24","PTMA&RPS24",0.5,0.5,"513.5&1043.79","513.5&1043.79"
"9074","undefined","undefined","PTMA&RPS24",0,0,"undefined","undefined"
"9075","NM_012073&NM_001099285","CCT5&PTMA","CCT5&PTMA",0.5,0.5,"467.58&513.5","0&513.5"
"9076","NM_012073&NM_002823","CCT5&PTMA","CCT5&PTMA",0.5,0.5,"467.58&513.5","0&513.5"
"9077","undefined","undefined","CCT5&PTMA",0,0,"undefined","undefined"
"9078","undefined","undefined","COPS7B&undefined",1,1,"undefined","undefined"
"9079","NM_004846&NM_000146","EIF4E2&FTL","EIF4E2&FTL",1,1,"55&11634","7.5&11634"
"9080","undefined","undefined","EIF4E2&FTL",0,0,"undefined","undefined"
"9081","undefined","undefined","C2orf82&undefined",1,3,"undefined","undefined"
"9082","undefined","undefined","NGEF&TECR",1,1,"undefined","undefined"
"9083","NM_017974&NM_001258329","ATG16L1&EPB41L1","ATG16L1&EPB41L1",0.2,0.2,"4.85&2.97","4.85&2.97"
"9084","NM_017974&NM_001258330","ATG16L1&EPB41L1","ATG16L1&EPB41L1",0.2,0.2,"4.85&10.95","4.85&2.97"
"9085","NM_017974&NM_001258331","ATG16L1&EPB41L1","ATG16L1&EPB41L1",0.2,0.2,"4.85&0","4.85&2.97"
"9086","NM_017974&NM_012156","ATG16L1&EPB41L1","ATG16L1&EPB41L1",0.2,0.2,"4.85&2.97","4.85&2.97"
"9087","NM_017974&NM_177996","ATG16L1&EPB41L1","ATG16L1&EPB41L1",0.2,0.2,"4.85&5.09","4.85&2.97"
"9088","undefined","undefined","ATG16L1&EPB41L1",0,0,"undefined","undefined"
"9089","undefined","undefined","ATG16L1&SAG",1,1,"undefined","undefined"
"9090","undefined","undefined","DGKD&USP40",1,1,"undefined","undefined"
"9091","NM_003648&NM_002654","DGKD&PKM","DGKD&PKM",0.5,0.5,"0&2485.61","0&0.01"
"9092","NM_152879&NM_002654","DGKD&PKM","DGKD&PKM",0.5,0.5,"38&2485.61","0&0.01"
"9093","undefined","undefined","DGKD&PKM",0,0,"undefined","undefined"
"9094","undefined","undefined","undefined&USP40",1,1,"undefined","undefined"
"9095","NM_019077&NM_021027","UGT1A7&UGT1A9","UGT1A7&UGT1A9",0,0,"0&1","0&1"
"9096","undefined","undefined","UGT1A7&UGT1A9",1,3,"undefined","undefined"
"9097","undefined","undefined","HJURP&undefined",1,1,"undefined","undefined"
"9098","NM_000146&NM_001282962","FTL&HJURP","FTL&HJURP",0.5,0.5,"11634&1.54","11634&1.54"
"9099","NM_000146&NM_018410","FTL&HJURP","FTL&HJURP",0.5,0.5,"11634&84.46","11634&1.54"
"9100","undefined","undefined","FTL&HJURP",0,0,"undefined","undefined"
"9101","NM_001025593&NM_001282962","ARFIP1&HJURP","ARFIP1&HJURP",0,0,"0&1.54","0&1.54"
"9102","NM_001025593&NM_001282963","ARFIP1&HJURP","ARFIP1&HJURP",0,0,"0&0","0&1.54"
"9103","NM_001025593&NM_018410","ARFIP1&HJURP","ARFIP1&HJURP",0,0,"0&84.46","0&1.54"
"9104","undefined","undefined","ARFIP1&HJURP",1,1,"undefined","undefined"
"9105","NM_018410&NM_002949","HJURP&MRPL12","HJURP&MRPL12",1,1,"84.46&302","1.54&302"
"9106","undefined","undefined","HJURP&MRPL12",0,0,"undefined","undefined"
"9107","undefined","undefined","HJURP&KIAA2012",1,1,"undefined","undefined"
"9108","NM_138443&NM_018410","HAUS1&HJURP","HAUS1&HJURP",1,1,"29&84.46","29&1.54"
"9109","undefined","undefined","HAUS1&HJURP",0,0,"undefined","undefined"
"9110","undefined","undefined","HJURP&TOP2A&undefined",1,1,"undefined","undefined"
"9111","NM_000034&NR_024322","ALDOA&MSL3P1","ALDOA&MSL3P1",0,0,"392.38&11","392.38&11"
"9112","NM_001127617&NR_024322","ALDOA&MSL3P1","ALDOA&MSL3P1",0,0,"1.26&11","392.38&11"
"9113","NM_001243177&NR_024322","ALDOA&MSL3P1","ALDOA&MSL3P1",0,0,"1.26&11","392.38&11"
"9114","NM_184041&NR_024322","ALDOA&MSL3P1","ALDOA&MSL3P1",0,0,"811.66&11","392.38&11"
"9115","NM_184043&NR_024322","ALDOA&MSL3P1","ALDOA&MSL3P1",0,0,"13.45&11","392.38&11"
"9116","undefined","undefined","ALDOA&MSL3P1",1,1,"undefined","undefined"
"9117","NM_001077489&NR_024322","GNAS&MSL3P1","GNAS&MSL3P1",0.5,0.5,"190.05&11","60.48&11"
"9118","NM_080426&NR_024322","GNAS&MSL3P1","GNAS&MSL3P1",0.5,0.5,"104.48&11","60.48&11"
"9119","undefined","undefined","GNAS&MSL3P1",0,0,"undefined","undefined"
"9120","NM_001282431&NM_001207042","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"5.13&0","5.13&0"
"9121","NM_001282431&NM_001536","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"5.13&35.17","5.13&0"
"9122","NM_001282431&NM_198318","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"5.13&203.22","5.13&0"
"9123","NM_001282431&NR_033397","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"5.13&2.61","5.13&0"
"9124","NM_005737&NM_001207042","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"83.87&0","5.13&0"
"9125","NM_005737&NM_001536","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"83.87&35.17","5.13&0"
"9126","NM_005737&NM_198318","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"83.87&203.22","5.13&0"
"9127","NM_005737&NR_033397","ARL4C&PRMT1","ARL4C&PRMT1",0.125,0.125,"83.87&2.61","5.13&0"
"9128","undefined","undefined","ARL4C&PRMT1",0,0,"undefined","undefined"
"9129","undefined","undefined","GPR156&SH3BP4",1,1,"undefined","undefined"
"9130","undefined","undefined","MYO1C&RILP&SH3BP4&undefined",1,1,"undefined","undefined"
"9131","NM_001037131&NM_001354","AGAP1&AKR1C2","AGAP1&AKR1C2",0.25,0.25,"11.33&2966.83","11.33&2"
"9132","NM_001037131&NM_205845","AGAP1&AKR1C2","AGAP1&AKR1C2",0.25,0.25,"11.33&1119.17","11.33&2"
"9133","NM_014914&NM_001354","AGAP1&AKR1C2","AGAP1&AKR1C2",0.25,0.25,"5.67&2966.83","11.33&2"
"9134","NM_014914&NM_205845","AGAP1&AKR1C2","AGAP1&AKR1C2",0.25,0.25,"5.67&1119.17","11.33&2"
"9135","undefined","undefined","AGAP1&AKR1C2",0,0,"undefined","undefined"
"9136","undefined","undefined","GBX2&undefined",1,3,"undefined","undefined"
"9137","NM_000700&NM_006710","ANXA1&COPS8","ANXA1&COPS8",1,1,"1174&65","1174&65"
"9138","undefined","undefined","ANXA1&COPS8",0,0,"undefined","undefined"
"9139","undefined","undefined","COPS8&undefined",1,1,"undefined","undefined"
"9140","NM_003860&NM_024101","BANF1&MLPH","BANF1&MLPH",1,1,"200.67&22.82","32.33&14.04"
"9141","undefined","undefined","BANF1&MLPH",0,0,"undefined","undefined"
"9142","undefined","undefined","MLPH&undefined",1,1,"undefined","undefined"
"9143","undefined","undefined","UBE2F&UBE2F-SCLY",1,1,"undefined","undefined"
"9144","NM_001260489&NM_080678","LSR&UBE2F","LSR&UBE2F",0.2,0.2,"3&15.47","3&0"
"9145","NM_001260490&NM_080678","LSR&UBE2F","LSR&UBE2F",0.2,0.2,"0&15.47","3&0"
"9146","NM_015925&NM_080678","LSR&UBE2F","LSR&UBE2F",0.2,0.2,"3&15.47","3&0"
"9147","NM_205834&NM_080678","LSR&UBE2F","LSR&UBE2F",0.2,0.2,"2&15.47","3&0"
"9148","NM_205835&NM_080678","LSR&UBE2F","LSR&UBE2F",0.2,0.2,"0&15.47","3&0"
"9149","undefined","undefined","LSR&UBE2F",0,0,"undefined","undefined"
"9150","undefined","undefined","ILKAP&SLC16A10",1,1,"undefined","undefined"
"9151","undefined","undefined","AKR1B10&TWIST2&undefined",1,1,"undefined","undefined"
"9152","NM_001326&NM_004544","CSTF3&NDUFA10","CSTF3&NDUFA10",1,1,"32&92","2.4&92"
"9153","undefined","undefined","CSTF3&NDUFA10",0,0,"undefined","undefined"
"9154","NM_004544&NM_033643","NDUFA10&RPL36","NDUFA10&RPL36",1,1,"92&409.41","92&17.59"
"9155","undefined","undefined","NDUFA10&RPL36",0,0,"undefined","undefined"
"9156","NM_001163424&NM_001270491","MYEOV2&RPL13A","MYEOV2&RPL13A",0.333333333333333,0.333333333333333,"122&0","122&0"
"9157","NM_001163424&NM_012423","MYEOV2&RPL13A","MYEOV2&RPL13A",0.333333333333333,0.333333333333333,"122&2099.84","122&0"
"9158","NM_001163424&NR_073024","MYEOV2&RPL13A","MYEOV2&RPL13A",0.333333333333333,0.333333333333333,"122&13.16","122&0"
"9159","undefined","undefined","MYEOV2&RPL13A",0,0,"undefined","undefined"
"9160","NM_001163424&NM_015584","MYEOV2&POLDIP2","MYEOV2&POLDIP2",1,1,"122&103","122&0"
"9161","undefined","undefined","MYEOV2&POLDIP2",0,0,"undefined","undefined"
"9162","undefined","undefined","GPC1&undefined",1,5,"undefined","undefined"
"9163","undefined","undefined","ANKMY1&GPC1",1,1,"undefined","undefined"
"9164","NM_002081&NM_014315","GPC1&KLHDC2","GPC1&KLHDC2",1,1,"104&24","104&24"
"9165","undefined","undefined","GPC1&KLHDC2",0,0,"undefined","undefined"
"9166","NM_002081&NM_021109","GPC1&TMSB4X","GPC1&TMSB4X",0,0,"104&1602","104&1602"
"9167","undefined","undefined","GPC1&TMSB4X",1,1,"undefined","undefined"
"9168","undefined","undefined","GPC1&SEPT2",1,1,"undefined","undefined"
"9169","NM_002081&NM_002496","GPC1&NDUFS8","GPC1&NDUFS8",1,1,"104&179","104&179"
"9170","undefined","undefined","GPC1&NDUFS8",0,0,"undefined","undefined"
"9171","NM_002081&NM_001020","GPC1&RPS16","GPC1&RPS16",1,1,"104&3245","104&3245"
"9172","undefined","undefined","GPC1&RPS16",0,0,"undefined","undefined"
"9173","NM_012203&NM_018226","GRHPR&RNPEPL1","GRHPR&RNPEPL1",1,1,"53&23","53&23"
"9174","undefined","undefined","GRHPR&RNPEPL1",0,0,"undefined","undefined"
"9175","NM_023083&NM_001195536","CAPN10&CHMP5","CAPN10&CHMP5",0.5,0.5,"8&0","8&0"
"9176","NM_023083&NM_016410","CAPN10&CHMP5","CAPN10&CHMP5",0.5,0.5,"8&85","8&0"
"9177","undefined","undefined","CAPN10&CHMP5",0,0,"undefined","undefined"
"9178","undefined","undefined","MTERF4&SNED1",1,1,"undefined","undefined"
"9179","undefined","undefined","GDE1&MTERF4",1,1,"undefined","undefined"
"9180","NM_001199815&NM_001252119","GGCT&PASK","GGCT&PASK",0.05,0.05,"0&1.2","0&1.2"
"9181","NM_001199815&NM_001252120","GGCT&PASK","GGCT&PASK",0.05,0.05,"0&0","0&1.2"
"9182","NM_001199815&NM_001252122","GGCT&PASK","GGCT&PASK",0.05,0.05,"0&0","0&1.2"
"9183","NM_001199815&NM_015148","GGCT&PASK","GGCT&PASK",0.05,0.05,"0&4.8","0&1.2"
"9184","NM_001199816&NM_001252119","GGCT&PASK","GGCT&PASK",0.05,0.05,"5.38&1.2","0&1.2"
"9185","NM_001199816&NM_001252120","GGCT&PASK","GGCT&PASK",0.05,0.05,"5.38&0","0&1.2"
"9186","NM_001199816&NM_001252122","GGCT&PASK","GGCT&PASK",0.05,0.05,"5.38&0","0&1.2"
"9187","NM_001199816&NM_015148","GGCT&PASK","GGCT&PASK",0.05,0.05,"5.38&4.8","0&1.2"
"9188","NM_001199817&NM_001252119","GGCT&PASK","GGCT&PASK",0.05,0.05,"2.15&1.2","0&1.2"
"9189","NM_001199817&NM_001252120","GGCT&PASK","GGCT&PASK",0.05,0.05,"2.15&0","0&1.2"
"9190","NM_001199817&NM_001252122","GGCT&PASK","GGCT&PASK",0.05,0.05,"2.15&0","0&1.2"
"9191","NM_001199817&NM_015148","GGCT&PASK","GGCT&PASK",0.05,0.05,"2.15&4.8","0&1.2"
