fusion,CCLE_Omics,Breast,sources,source_count
ACTB--RPL7A,1,0,CCLE_Omics,1
ACTB--RPS11,1,0,CCLE_Omics,1
ACTB--SARAF,1,0,CCLE_Omics,1
ACTB--SCAF11,1,0,CCLE_Omics,1
ACTB--SFPQ,1,0,CCLE_Omics,1
ACTB--STOML2,1,0,CCLE_Omics,1
ACTB--TPT1,1,0,CCLE_Omics,1
ACTB--TUBA1C,1,0,CCLE_Omics,1
ACTB--TUBB4B,1,0,CCLE_Omics,1
ACTB--UBB,1,0,CCLE_Omics,1
ACTB--UBC,1,0,CCLE_Omics,1
ACTB--VIM,1,0,CCLE_Omics,1
ACTB--YBX1,1,0,CCLE_Omics,1
ACTB--ZYX,1,0,CCLE_Omics,1
ACTG1--ATP6V1C2,1,0,CCLE_Omics,1
ACTG1--B2M,1,0,CCLE_Omics,1
ACTG1--EEF1B2,1,0,CCLE_Omics,1
ACTG1--FN1,1,0,CCLE_Omics,1
ACTG1--FTH1,1,0,CCLE_Omics,1
ACTG1--GAPDH,1,0,CCLE_Omics,1
ACTG1--GAS5,1,0,CCLE_Omics,1
ACTG1--HMGB2,1,0,CCLE_Omics,1
ACTG1--HNRNPF,1,0,CCLE_Omics,1
ACTG1--HSP90AB1,1,0,CCLE_Omics,1
ACTG1--JUP,1,0,CCLE_Omics,1
ACTG1--MT-CO1,1,0,CCLE_Omics,1
ACTG1--MT-CO2,1,0,CCLE_Omics,1
ACTG1--MT-CYB,1,0,CCLE_Omics,1
ACTG1--MT-ND4,1,0,CCLE_Omics,1
ACTG1--MT-ND5,1,0,CCLE_Omics,1
ACTG1--NBEAL1,1,0,CCLE_Omics,1
ACTG1--NFATC2IP,1,0,CCLE_Omics,1
ACTG1--NPLOC4,1,0,CCLE_Omics,1
ACTG1--PCBP1-AS1,1,0,CCLE_Omics,1
ACTG1--PHLDB2,1,0,CCLE_Omics,1
ACTG1--PPIA,1,0,CCLE_Omics,1
ACTG1--PSMD2,1,0,CCLE_Omics,1
ACTG1--PTMA,1,0,CCLE_Omics,1
ACTG1--RPL7A,1,0,CCLE_Omics,1
ACTG1--RPS3,1,0,CCLE_Omics,1
ACTG1--S100A6,1,0,CCLE_Omics,1
ACTG1--SLC25A5,1,0,CCLE_Omics,1
ACTG1--SLC38A10,1,0,CCLE_Omics,1
ACTG1--SLC7A5,1,0,CCLE_Omics,1
ACTG1--SNRPB,1,0,CCLE_Omics,1
ACTG1--TGM2,1,0,CCLE_Omics,1
ACTN1--FTL,1,0,CCLE_Omics,1
ACTN1--MT2A,1,0,CCLE_Omics,1
ACTN1--RPS23,1,0,CCLE_Omics,1
ACTN1--ZFP36L1,1,0,CCLE_Omics,1
ACTN4--EIF3K,1,0,CCLE_Omics,1
ACTN4--FN1,1,0,CCLE_Omics,1
ACTN4--MT-ATP6,1,0,CCLE_Omics,1
ACTN4--MT-CO1,1,0,CCLE_Omics,1
ACTN4--MT-CO3,1,0,CCLE_Omics,1
ACTN4--MT-CYB,1,0,CCLE_Omics,1
ACTN4--RPL7A,1,0,CCLE_Omics,1
ACTN4--RPS16,1,0,CCLE_Omics,1
ACTR2--RPLP0,1,0,CCLE_Omics,1
ADAM10--FTH1,1,0,CCLE_Omics,1
ADAM15--MALAT1,1,0,CCLE_Omics,1
ADAM17--YWHAQ,1,0,CCLE_Omics,1
ADAM9--TM2D2,1,0,CCLE_Omics,1
ADARB1--COL18A1,1,0,CCLE_Omics,1
ADCY4--PSME2,1,0,CCLE_Omics,1
ADD1--FAM193A,1,0,CCLE_Omics,1
ADGRA3--EEF1A1,1,0,CCLE_Omics,1
ADIRF-AS1--LGALS1,1,0,CCLE_Omics,1
ADK--KAT6B,1,0,CCLE_Omics,1
ADK--VCL,1,0,CCLE_Omics,1
ADNP--MT-CO2,1,0,CCLE_Omics,1
ADNP--PPIA,1,0,CCLE_Omics,1
ADRM1--MT-CYB,1,0,CCLE_Omics,1
ADRM1--MT-ND5,1,0,CCLE_Omics,1
ADSS2--SMYD3,1,0,CCLE_Omics,1
AEBP2--HNRNPA2B1,1,0,CCLE_Omics,1
AFF1--PTPN13,1,0,CCLE_Omics,1
AFF1--TMSB4X,1,0,CCLE_Omics,1
AFF4--HSPA4,1,0,CCLE_Omics,1
AFG3L1P--TCF25,1,0,CCLE_Omics,1
AGAP3--MT-ATP8,1,0,CCLE_Omics,1
AGFG1--MT-ND5,1,0,CCLE_Omics,1
AGPAT5--MCPH1,1,0,CCLE_Omics,1
AGRN--MT-CO1,1,0,CCLE_Omics,1
AGRN--NOC4L,1,0,CCLE_Omics,1
AHCY--MT-CYB,1,0,CCLE_Omics,1
AHCY--PABPC1,1,0,CCLE_Omics,1
AHI1--HBS1L,1,0,CCLE_Omics,1
AHNAK--MT-RNR2,1,0,CCLE_Omics,1
